language,language_code,resource_lookup_code,resource_score_log_pages,script,script_name,macroarea,family,genus,num_countries,latitude,longitude
AS,as,asm,11.096164,Beng,Bangla,Eurasia,Indo-European,Indic,1,26,93
AZ,az,aze,14.120734,Latn,Latin,Eurasia,Altaic,Turkic,2,40.5,48.5
CN,zh,zho,18.62735,Hans,Simplified,Eurasia,Sino-Tibetan,Chinese,1,25,102.75
DZ,ar,ara,16.542658,Arab,Arabic,Eurasia,Afro-Asiatic,Semitic,22,25,42
ES,es,spa,18.445758,Latn,Latin,Eurasia,Indo-European,Romance,1,40,-4
ET,am,amh,11.328051,Ethi,Ethiopic,Africa,Afro-Asiatic,Semitic,1,10,38
GR,el,ell,16.291029,Grek,Greek,Eurasia,Indo-European,Greek,1,39,22
ID,id,ind,16.978261,Latn,Latin,Papunesia,Austronesian,Malayo-Sumbawan,1,0,106
IR,fa,fas,16.535866,Arab,Arabic,Eurasia,Indo-European,Iranian,1,32,54
JB,jv,jav,11.062386,Latn,Latin,Papunesia,Austronesian,Javanese,1,-7,111
KP,ko,kor,16.712031,Kore,Korean,Eurasia,Korean,Korean,2,37.5,128
KR,ko,kor,16.712031,Kore,Korean,Eurasia,Korean,Korean,2,37.5,128
MX,es,spa,18.445758,Latn,Latin,Eurasia,Indo-European,Romance,1,40,-4
NG,ha,hau,11.147556,Arab,Arabic,Africa,Afro-Asiatic,West Chadic,2,12,7
acm_arab,acm,ara,16.542658,Arab,Arabic,Eurasia,Afro-Asiatic,Semitic,1,33,44
acq_arab,acq,ara,16.542658,Arab,Arabic,South America,Arawakan,Antillean Arawakan,1,5.5,-55.1666666667
aeb_arab,aeb,ara,16.542658,Arab,Arabic,Africa,Afro-Asiatic,Semitic,1,36.75,10.25
afb_arab,afb,ara,16.542658,Arab,Arabic,Eurasia,Afro-Asiatic,Semitic,7,26,49
afr_latn,afr,afr,12.188181,Latn,Latin,Africa,Indo-European,Germanic,1,-31,22
als_latn,als,sqi,13.914601,Latn,Latin,Eurasia,Indo-European,Albanian,2,41,20
amh,am,amh,11.328051,Ethi,Ethiopic,Africa,Afro-Asiatic,Semitic,1,10,38
amh_ethi,am,amh,11.328051,Ethi,Ethiopic,Africa,Afro-Asiatic,Semitic,1,10,38
apc_arab,apc,ara,16.542658,Arab,Arabic,Eurasia,Afro-Asiatic,Semitic,1,33.9166666667,35.5
apc_arab_jord,apc,ara,16.542658,Arab,Arabic,Eurasia,Afro-Asiatic,Semitic,1,33.9166666667,35.5
apc_arab_leba,apc,ara,16.542658,Arab,Arabic,Eurasia,Afro-Asiatic,Semitic,1,33.9166666667,35.5
apc_arab_pale,apc,ara,16.542658,Arab,Arabic,Eurasia,Afro-Asiatic,Semitic,1,33.9166666667,35.5
apc_arab_syri,apc,ara,16.542658,Arab,Arabic,Eurasia,Afro-Asiatic,Semitic,1,33.9166666667,35.5
ar,ar,ara,16.542658,Arab,Arabic,Eurasia,Afro-Asiatic,Semitic,22,25,42
arb,ar,ara,16.542658,Arab,Arabic,Eurasia,Afro-Asiatic,Semitic,22,25,42
arb_arab,ar,ara,16.542658,Arab,Arabic,Eurasia,Afro-Asiatic,Semitic,22,25,42
arb_latn,ar,ara,16.542658,Latn,Latin,Eurasia,Afro-Asiatic,Semitic,22,25,42
arq_arab,arq,ara,16.542658,Arab,Arabic,Eurasia,Afro-Asiatic,Semitic,1,33,44
ars_arab,ars,ara,16.542658,Arab,Arabic,Eurasia,Afro-Asiatic,Semitic,1,16,44
ary_arab,ary,ara,16.542658,Arab,Arabic,Africa,Afro-Asiatic,Semitic,1,34,-6
arz_arab,arz,ara,16.542658,Arab,Arabic,Africa,Afro-Asiatic,Semitic,1,30,31
asm_beng,as,asm,11.096164,Beng,Bangla,Eurasia,Indo-European,Indic,1,26,93
azj_latn,az,aze,14.120734,Latn,Latin,Eurasia,Altaic,Turkic,2,40.5,48.5
bam_latn,bam,bam,,Latn,Latin,Africa,Mande,Western Mande,1,12.5,-7.5
bel_cyrl,bel,bel,12.807588,Cyrl,Cyrillic,Eurasia,Indo-European,Slavic,1,54,28
ben,bn,ben,14.73805,Beng,Bangla,Eurasia,Indo-European,Indic,2,24,90
ben_beng,bn,ben,14.73805,Beng,Bangla,Eurasia,Indo-European,Indic,2,24,90
ben_latn,bn,ben,14.73805,Latn,Latin,Eurasia,Indo-European,Indic,2,24,90
bho_deva,bho,bho,,Deva,Devanagari,Eurasia,Indo-European,Indic,1,26,84
bod_tibt,bod,bod,10.288685,Tibt,Tibetan,Eurasia,Sino-Tibetan,Bodic,1,30.3333333333,79.3333333333
bos_latn,bos,bos,14.044535,Latn,Latin,Eurasia,Indo-European,Slavic,1,43,18
bsk_arab,bsk,ara,16.542658,Arab,Arabic,Eurasia,Burushaski,Burushaski,1,36.5,74.5
bul_cyrl,bul,bul,15.629925,Cyrl,Cyrillic,Eurasia,Indo-European,Slavic,1,42.5,25
